Iteration,Phase,Loss,Reward,Entropy,WinRate,DealInRate,MeanShantenRed
129,1,0.1022,0.0067,1.3072,0.6909,0.1909,6.5455
130,1,0.1029,0.0048,1.2833,0.5000,0.1827,6.3846
131,1,0.1305,0.0083,1.2954,0.6842,0.1491,6.3684
132,1,0.1237,0.0079,1.2732,0.8037,0.1682,6.5140
133,1,0.1058,0.0071,1.2844,0.5545,0.1727,6.2000
134,1,0.1056,0.0066,1.3039,0.5545,0.1909,6.3000
135,1,0.1302,0.0064,1.2940,0.6417,0.1583,6.4750
136,1,0.0823,0.0053,1.2552,0.7941,0.2647,6.5588
137,1,0.1203,0.0064,1.2550,0.5603,0.2069,6.3879
138,1,0.1188,0.0067,1.2793,0.6885,0.2213,6.4098
139,1,0.1131,0.0074,1.2516,0.6667,0.1222,6.4333
140,1,0.0958,0.0071,1.2756,0.6960,0.1920,6.4240
141,1,0.1076,0.0053,1.2754,0.6147,0.1651,6.2569
142,1,0.1025,0.0050,1.2507,0.6735,0.1939,6.7653
143,1,0.1170,0.0083,1.2569,0.5221,0.1593,6.4071
144,1,0.1277,0.0085,1.2528,0.6296,0.2222,6.6667
145,1,0.0814,0.0067,1.3145,0.6273,0.0909,6.2455
146,1,0.1143,0.0073,1.2799,0.6475,0.1230,6.3607
147,1,0.1052,0.0062,1.2594,0.6602,0.1845,6.4078
148,1,0.0946,0.0077,1.3026,0.6822,0.2336,6.7477
149,1,0.1107,0.0063,1.2996,0.4571,0.1524,6.2857
150,1,0.0871,0.0055,1.2693,0.6610,0.1525,6.1864
151,1,0.0962,0.0069,1.2841,0.7890,0.2110,6.5963
152,1,0.1061,0.0063,1.2433,0.5652,0.1478,6.3565
153,1,0.1171,0.0095,1.2470,0.7222,0.1389,6.4722
154,1,0.1157,0.0078,1.2745,0.7685,0.1852,6.6852
155,1,0.1413,0.0081,1.2703,0.6604,0.2358,6.2642
156,1,0.1205,0.0046,1.2944,0.6250,0.1875,6.5714
157,1,0.1102,0.0063,1.2609,0.6774,0.1371,6.3710
158,1,0.1044,0.0047,1.3050,0.5905,0.1524,6.2190
159,1,0.1327,0.0077,1.2726,0.6174,0.1913,6.2609
160,1,0.1218,0.0064,1.3022,0.7339,0.1560,6.3211
161,1,0.1081,0.0075,1.2655,0.6667,0.2033,6.4634
162,1,0.1028,0.0054,1.2915,0.6703,0.1099,6.8571
163,1,0.1000,0.0068,1.2978,0.6018,0.1770,6.5044
164,1,0.1039,0.0073,1.2553,0.7521,0.1624,6.5385
165,1,0.1109,0.0057,1.2908,0.6404,0.1842,6.3860
166,1,0.0981,0.0076,1.3242,0.5862,0.1494,6.7471
167,1,0.1193,0.0071,1.3027,0.5821,0.1269,6.3060
168,1,0.1141,0.0078,1.2479,0.5673,0.1538,6.3558
169,1,0.1084,0.0068,1.2864,0.6893,0.2233,6.5049
170,1,0.1172,0.0085,1.2854,0.6058,0.1635,6.4808
171,1,0.1033,0.0081,1.2619,0.6379,0.1552,6.3534
172,1,0.0926,0.0055,1.2650,0.5667,0.2000,6.1167
173,1,0.1244,0.0072,1.2810,0.8067,0.1597,6.5714
174,1,0.1234,0.0054,1.2976,0.5524,0.2571,6.4286
175,1,0.1236,0.0050,1.2996,0.6087,0.1304,6.4435
176,1,0.1189,0.0049,1.2733,0.6667,0.1389,6.5000
177,1,0.0969,0.0070,1.2824,0.6727,0.1636,6.4636
